area,sitio,arquivo_de_som,det,data,horario
Marona,Mar20,20191026_111500.WAV,1,26/10/2019,11:15:00
Marona,Mar20,20191026_113000.WAV,1,26/10/2019,11:30:00
Marona,Mar20,20191026_114500.WAV,1,26/10/2019,11:45:00
Marona,Mar20,20191026_120000.WAV,1,26/10/2019,12:00:00
Marona,Mar20,20191026_121500.WAV,1,26/10/2019,12:15:00
Marona,Mar20,20191026_123000.WAV,1,26/10/2019,12:30:00
Marona,Mar20,20191026_124500.WAV,1,26/10/2019,12:45:00
Marona,Mar20,20191026_130000.WAV,1,26/10/2019,13:00:00
Marona,Mar20,20191026_131500.WAV,1,26/10/2019,13:15:00
Marona,Mar20,20191026_133000.WAV,1,26/10/2019,13:30:00
Marona,Mar20,20191026_134500.WAV,1,26/10/2019,13:45:00
Marona,Mar20,20191026_140000.WAV,0,26/10/2019,14:00:00
Marona,Mar20,20191026_141500.WAV,1,26/10/2019,14:15:00
Marona,Mar20,20191026_143000.WAV,1,26/10/2019,14:30:00
Marona,Mar20,20191026_144500.WAV,1,26/10/2019,14:45:00
Marona,Mar20,20191026_150000.WAV,1,26/10/2019,15:00:00
Marona,Mar20,20191026_151500.WAV,1,26/10/2019,15:15:00
Marona,Mar20,20191026_153000.WAV,0,26/10/2019,15:30:00
Marona,Mar20,20191026_154500.WAV,1,26/10/2019,15:45:00
Marona,Mar20,20191026_160000.WAV,0,26/10/2019,16:00:00
Marona,Mar20,20191026_161500.WAV,0,26/10/2019,16:15:00
Marona,Mar20,20191026_163000.WAV,1,26/10/2019,16:30:00
Marona,Mar20,20191026_164500.WAV,0,26/10/2019,16:45:00
Marona,Mar20,20191026_170000.WAV,1,26/10/2019,17:00:00
Marona,Mar20,20191026_171500.WAV,1,26/10/2019,17:15:00
Marona,Mar20,20191026_173000.WAV,0,26/10/2019,17:30:00
Marona,Mar20,20191026_174500.WAV,0,26/10/2019,17:45:00
Marona,Mar20,20191026_180000.WAV,1,26/10/2019,18:00:00
Marona,Mar20,20191026_181500.WAV,1,26/10/2019,18:15:00
Marona,Mar20,20191027_060000.WAV,1,27/10/2019,06:00:00
Marona,Mar20,20191027_061500.WAV,1,27/10/2019,06:15:00
Marona,Mar20,20191027_063000.WAV,1,27/10/2019,06:30:00
Marona,Mar20,20191027_064500.WAV,1,27/10/2019,06:45:00
Marona,Mar20,20191027_070000.WAV,1,27/10/2019,07:00:00
Marona,Mar20,20191027_071500.WAV,1,27/10/2019,07:15:00
Marona,Mar20,20191027_073000.WAV,0,27/10/2019,07:30:00
Marona,Mar20,20191027_074500.WAV,1,27/10/2019,07:45:00
Marona,Mar20,20191027_080000.WAV,0,27/10/2019,08:00:00
Marona,Mar20,20191027_081500.WAV,0,27/10/2019,08:15:00
Marona,Mar20,20191027_083000.WAV,0,27/10/2019,08:30:00
Marona,Mar20,20191027_084500.WAV,0,27/10/2019,08:45:00
Marona,Mar20,20191027_090000.WAV,1,27/10/2019,09:00:00
Marona,Mar20,20191027_091500.WAV,1,27/10/2019,09:15:00
Marona,Mar20,20191027_093000.WAV,0,27/10/2019,09:30:00
Marona,Mar20,20191027_094500.WAV,0,27/10/2019,09:45:00
Marona,Mar20,20191027_100000.WAV,1,27/10/2019,10:00:00
Marona,Mar20,20191027_101500.WAV,1,27/10/2019,10:15:00
Marona,Mar20,20191027_103000.WAV,1,27/10/2019,10:30:00
Marona,Mar20,20191027_104500.WAV,1,27/10/2019,10:45:00
Marona,Mar20,20191027_110000.WAV,1,27/10/2019,11:00:00
Marona,Mar20,20191027_111500.WAV,1,27/10/2019,11:15:00
Marona,Mar20,20191027_113000.WAV,0,27/10/2019,11:30:00
Marona,Mar20,20191027_114500.WAV,0,27/10/2019,11:45:00
Marona,Mar20,20191027_120000.WAV,1,27/10/2019,12:00:00
Marona,Mar20,20191027_121500.WAV,1,27/10/2019,12:15:00
Marona,Mar20,20191027_123000.WAV,1,27/10/2019,12:30:00
Marona,Mar20,20191027_124500.WAV,1,27/10/2019,12:45:00
Marona,Mar20,20191027_130000.WAV,0,27/10/2019,13:00:00
Marona,Mar20,20191027_131500.WAV,0,27/10/2019,13:15:00
Marona,Mar20,20191027_133000.WAV,1,27/10/2019,13:30:00
Marona,Mar20,20191027_134500.WAV,1,27/10/2019,13:45:00
Marona,Mar20,20191027_140000.WAV,0,27/10/2019,14:00:00
Marona,Mar20,20191027_141500.WAV,0,27/10/2019,14:15:00
Marona,Mar20,20191027_143000.WAV,0,27/10/2019,14:30:00
Marona,Mar20,20191027_144500.WAV,0,27/10/2019,14:45:00
Marona,Mar20,20191027_150000.WAV,0,27/10/2019,15:00:00
Marona,Mar20,20191027_151500.WAV,0,27/10/2019,15:15:00
