sitio;arquivo_de_som;data;horario;temp;umid;veg
maro19;20191024_154500.WAV;24/10/2019;15:45:00;26.9;43.6;2500
maro19;20191026_154500.WAV;26/10/2019;15:45:00;29.7;43.6;2500
maro19;20191025_111500.WAV;25/10/2019;11:15:00;23.4;43.7;2500
maro19;20191024_163000.WAV;24/10/2019;16:30:00;25.9;43.7;2500
maro19;20191025_104500.WAV;25/10/2019;10:45:00;23.3;44.1;2500
maro19;20191026_173000.WAV;26/10/2019;17:30:00;29.5;44.6;2500
maro19;20191024_124500.WAV;24/10/2019;12:45:00;24.8;44.7;2500
maro19;20191025_101500.WAV;25/10/2019;10:15:00;23;45;2500
maro19;20191025_081500.WAV;25/10/2019;08:15:00;23.8;45.1;2500
maro19;20191024_123000.WAV;24/10/2019;12:30:00;24.3;45.1;2500
maro19;20191024_134500.WAV;24/10/2019;13:45:00;26;45.3;2500
maro19;20191025_100000.WAV;25/10/2019;10:00:00;22.5;45.5;2500
maro19;20191026_174500.WAV;26/10/2019;17:45:00;29.1;45.6;2500
maro19;20191024_120000.WAV;24/10/2019;12:00:00;24;45.8;2500
maro19;20191024_150000.WAV;24/10/2019;15:00:00;26;45.8;2500
maro19;20191024_131500.WAV;24/10/2019;13:15:00;25.6;46.1;2500
maro19;20191026_101500.WAV;26/10/2019;10:15:00;24.2;47;2500
maro19;20191024_130000.WAV;24/10/2019;13:00:00;25;47;2500
maro19;20191024_113000.WAV;24/10/2019;11:30:00;24;47.3;2500
maro19;20191025_080000.WAV;25/10/2019;08:00:00;23.4;47.4;2500
maro19;20191026_103000.WAV;26/10/2019;10:30:00;25.5;47.4;2500
maro19;20191024_153000.WAV;24/10/2019;15:30:00;26.1;47.4;2500
maro19;20191026_094500.WAV;26/10/2019;09:45:00;23.2;48;2500
maro19;20191025_094500.WAV;25/10/2019;09:45:00;21.6;48.1;2500
maro19;20191026_100000.WAV;26/10/2019;10:00:00;23.8;48.6;2500
maro19;20191024_114500.WAV;24/10/2019;11:45:00;23.5;49;2500
maro19;20191024_121500.WAV;24/10/2019;12:15:00;24.7;49.2;2500
maro19;20191025_083000.WAV;25/10/2019;08:30:00;20.8;49.4;2500
maro19;20191024_104500.WAV;24/10/2019;10:45:00;23.6;49.5;2500
maro19;20191025_091500.WAV;25/10/2019;09:15:00;21.8;49.7;2500
maro19;20191024_111500.WAV;24/10/2019;11:15:00;23.7;49.8;2500
maro19;20191026_180000.WAV;26/10/2019;18:00:00;28.3;50.7;2500
maro19;20191025_074500.WAV;25/10/2019;07:45:00;21.2;51.2;2500
maro19;20191026_093000.WAV;26/10/2019;09:30:00;22.8;51.3;2500
maro19;20191026_091500.WAV;26/10/2019;09:15:00;22.6;51.5;2500
maro19;20191025_084500.WAV;25/10/2019;08:45:00;20.4;52.5;2500
maro19;20191025_093000.WAV;25/10/2019;09:30:00;21.1;52.9;2500
maro19;20191026_181500.WAV;26/10/2019;18:15:00;27.2;53;2500
maro19;20191025_090000.WAV;25/10/2019;09:00:00;21.8;53.1;2500
maro19;20191026_090000.WAV;26/10/2019;09:00:00;22.2;53.8;2500
maro19;20191024_110000.WAV;24/10/2019;11:00:00;23.5;54.3;2500
maro19;20191026_084500.WAV;26/10/2019;08:45:00;20.9;55.2;2500
maro19;20191024_103000.WAV;24/10/2019;10:30:00;23.6;55.5;2500
maro19;20191026_083000.WAV;26/10/2019;08:30:00;20.7;56.1;2500
maro19;20191026_074500.WAV;26/10/2019;07:45:00;20.2;56.5;2500
maro19;20191026_080000.WAV;26/10/2019;08:00:00;20.4;57.4;2500
maro19;20191026_081500.WAV;26/10/2019;08:15:00;20.4;57.7;2500
maro19;20191025_073000.WAV;25/10/2019;07:30:00;16.5;62.1;2500
maro19;20191026_073000.WAV;26/10/2019;07:30:00;17.4;62.3;2500
maro19;20191026_071500.WAV;26/10/2019;07:15:00;15.7;66.2;2500
maro19;20191026_070000.WAV;26/10/2019;07:00:00;15.2;67.1;2500
maro19;20191026_064500.WAV;26/10/2019;06:45:00;14.4;68.3;2500
maro19;20191026_060000.WAV;26/10/2019;06:00:00;13.7;68.5;2500
maro19;20191025_064500.WAV;25/10/2019;06:45:00;13.6;69.3;2500
maro19;20191025_070000.WAV;25/10/2019;07:00:00;13.4;69.9;2500
maro19;20191025_071500.WAV;25/10/2019;07:15:00;14.2;70.3;2500
maro19;20191025_060000.WAV;25/10/2019;06:00:00;12.8;70.7;2500
maro19;20191025_063000.WAV;25/10/2019;06:30:00;13.3;70.7;2500
maro19;20191025_061500.WAV;25/10/2019;06:15:00;12.8;71.7;2500
maro19;20191026_063000.WAV;26/10/2019;06:30:00;13.4;72;2500
maro19;20191026_061500.WAV;26/10/2019;06:15:00;12.9;72.1;2500
maro19;20191028_074500.WAV;28/10/2019;07:45:00;21.9;80.4;2500
maro19;20191027_174500.WAV;27/10/2019;17:45:00;20.3;85.5;2500
maro19;20191028_073000.WAV;28/10/2019;07:30:00;20.2;86;2500
maro19;20191027_180000.WAV;27/10/2019;18:00:00;20.2;86.1;2500
maro19;20191027_181500.WAV;27/10/2019;18:15:00;19.9;88.9;2500
maro19;20191028_071500.WAV;28/10/2019;07:15:00;19.4;89.1;2500
maro19;20191028_063000.WAV;28/10/2019;06:30:00;18.1;89.4;2500
maro19;20191028_070000.WAV;28/10/2019;07:00:00;18.7;90.1;2500
maro19;20191028_064500.WAV;28/10/2019;06:45:00;17.8;90.8;2500
maro19;20191027_173000.WAV;27/10/2019;17:30:00;20.3;91;2500
maro19;20191027_060000.WAV;27/10/2019;06:00:00;19.1;92.6;2500
maro19;20191027_061500.WAV;27/10/2019;06:15:00;19;92.9;2500
maro19;20191027_063000.WAV;27/10/2019;06:30:00;18.8;93.1;2500
maro19;20191028_061500.WAV;28/10/2019;06:15:00;17.4;93.2;2500
maro19;20191027_064500.WAV;27/10/2019;06:45:00;18.8;93.4;2500
maro19;20191027_071500.WAV;27/10/2019;07:15:00;18.9;93.6;2500
maro19;20191027_073000.WAV;27/10/2019;07:30:00;18.8;93.7;2500
maro19;20191027_070000.WAV;27/10/2019;07:00:00;18.8;93.8;2500
maro19;20191027_074500.WAV;27/10/2019;07:45:00;18.8;93.9;2500
maro19;20191027_171500.WAV;27/10/2019;17:15:00;20.3;93.9;2500
maro19;20191028_060000.WAV;28/10/2019;06:00:00;17.3;94;2500
maro19;20191027_080000.WAV;27/10/2019;08:00:00;18.7;94;2500
maro19;20191027_081500.WAV;27/10/2019;08:15:00;18.6;94.2;2500
maro19;20191027_083000.WAV;27/10/2019;08:30:00;18.6;94.2;2500
maro19;20191027_170000.WAV;27/10/2019;17:00:00;20.2;94.4;2500
maro19;20191027_090000.WAV;27/10/2019;09:00:00;18.6;94.5;2500
maro19;20191027_084500.WAV;27/10/2019;08:45:00;18.5;94.6;2500
maro19;20191027_133000.WAV;27/10/2019;13:30:00;19.4;94.6;2500
maro19;20191027_091500.WAV;27/10/2019;09:15:00;18.6;94.7;2500
maro19;20191027_094500.WAV;27/10/2019;09:45:00;18.9;94.7;2500
maro19;20191027_100000.WAV;27/10/2019;10:00:00;18.9;94.7;2500
maro19;20191027_164500.WAV;27/10/2019;16:45:00;20.2;94.7;2500
maro19;20191027_093000.WAV;27/10/2019;09:30:00;18.7;94.8;2500
maro19;20191027_101500.WAV;27/10/2019;10:15:00;18.9;94.8;2500
maro19;20191027_123000.WAV;27/10/2019;12:30:00;19.3;94.8;2500
maro19;20191027_134500.WAV;27/10/2019;13:45:00;19.3;94.8;2500
maro19;20191027_163000.WAV;27/10/2019;16:30:00;20.1;94.8;2500
maro19;20191027_130000.WAV;27/10/2019;13:00:00;19.3;94.9;2500
maro19;20191027_161500.WAV;27/10/2019;16:15:00;20.1;94.9;2500
maro19;20191027_103000.WAV;27/10/2019;10:30:00;18.9;95;2500
maro19;20191027_140000.WAV;27/10/2019;14:00:00;19.4;95;2500
maro19;20191027_104500.WAV;27/10/2019;10:45:00;19;95.1;2500
maro19;20191027_141500.WAV;27/10/2019;14:15:00;19.3;95.1;2500
maro19;20191027_124500.WAV;27/10/2019;12:45:00;19.4;95.1;2500
maro19;20191027_131500.WAV;27/10/2019;13:15:00;19.4;95.1;2500
maro19;20191027_110000.WAV;27/10/2019;11:00:00;19;95.2;2500
maro19;20191027_121500.WAV;27/10/2019;12:15:00;19.3;95.2;2500
maro19;20191027_111500.WAV;27/10/2019;11:15:00;19;95.3;2500
maro19;20191027_113000.WAV;27/10/2019;11:30:00;19.1;95.3;2500
maro19;20191027_114500.WAV;27/10/2019;11:45:00;19.1;95.3;2500
maro19;20191027_120000.WAV;27/10/2019;12:00:00;19.3;95.3;2500
maro19;20191027_154500.WAV;27/10/2019;15:45:00;19.9;95.5;2500
maro19;20191027_160000.WAV;27/10/2019;16:00:00;20.2;95.5;2500
maro19;20191027_153000.WAV;27/10/2019;15:30:00;19.4;95.7;2500
maro19;20191027_143000.WAV;27/10/2019;14:30:00;19;95.8;2500
maro19;20191027_150000.WAV;27/10/2019;15:00:00;19;95.8;2500
maro19;20191027_151500.WAV;27/10/2019;15:15:00;19.4;95.8;2500
maro19;20191027_144500.WAV;27/10/2019;14:45:00;18.7;95.9;2500
maro20;20191025_170000.WAV;25/10/2019;17:00:00;34.2;17.1;1787
maro20;20191025_171500.WAV;25/10/2019;17:15:00;34.2;17.6;1787
maro20;20191025_180000.WAV;25/10/2019;18:00:00;34.2;18.5;1787
maro20;20191025_173000.WAV;25/10/2019;17:30:00;34.8;18.5;1787
maro20;20191025_181500.WAV;25/10/2019;18:15:00;33.9;19.1;1787
maro20;20191025_164500.WAV;25/10/2019;16:45:00;32.3;19.3;1787
maro20;20191025_174500.WAV;25/10/2019;17:45:00;33.6;19.5;1787
maro20;20191025_163000.WAV;25/10/2019;16:30:00;31.5;20.6;1787
maro20;20191025_160000.WAV;25/10/2019;16:00:00;28.8;24;1787
maro20;20191025_161500.WAV;25/10/2019;16:15:00;29.4;24.2;1787
maro20;20191025_154500.WAV;25/10/2019;15:45:00;28.5;24.7;1787
maro20;20191026_164500.WAV;26/10/2019;16:45:00;36.6;25.1;1787
maro20;20191026_171500.WAV;26/10/2019;17:15:00;36.7;25.1;1787
maro20;20191026_173000.WAV;26/10/2019;17:30:00;37.4;25.1;1787
maro20;20191026_170000.WAV;26/10/2019;17:00:00;36.1;26;1787
maro20;20191026_174500.WAV;26/10/2019;17:45:00;36.5;26.4;1787
maro20;20191026_130000.WAV;26/10/2019;13:00:00;29.7;26.9;1787
maro20;20191026_131500.WAV;26/10/2019;13:15:00;30.2;26.9;1787
maro20;20191025_144500.WAV;25/10/2019;14:45:00;27.8;27.3;1787
maro20;20191025_153000.WAV;25/10/2019;15:30:00;28.2;27.3;1787
maro20;20191024_181500.WAV;24/10/2019;18:15:00;29.4;27.6;1787
maro20;20191025_141500.WAV;25/10/2019;14:15:00;27.3;27.8;1787
maro20;20191026_133000.WAV;26/10/2019;13:30:00;30.5;27.8;1787
maro20;20191025_150000.WAV;25/10/2019;15:00:00;28;28;1787
maro20;20191025_151500.WAV;25/10/2019;15:15:00;28.6;28.1;1787
maro20;20191024_170000.WAV;24/10/2019;17:00:00;29.8;28.3;1787
maro20;20191026_124500.WAV;26/10/2019;12:45:00;29.2;28.4;1787
maro20;20191026_161500.WAV;26/10/2019;16:15:00;33.7;28.4;1787
maro20;20191026_123000.WAV;26/10/2019;12:30:00;28.9;28.6;1787
maro20;20191025_140000.WAV;25/10/2019;14:00:00;27;28.7;1787
maro20;20191026_160000.WAV;26/10/2019;16:00:00;33.3;28.9;1787
maro20;20191025_134500.WAV;25/10/2019;13:45:00;26.8;29.1;1787
maro20;20191024_174500.WAV;24/10/2019;17:45:00;28.6;29.1;1787
maro20;20191024_171500.WAV;24/10/2019;17:15:00;29.8;29.1;1787
maro20;20191026_180000.WAV;26/10/2019;18:00:00;34.9;29.2;1787
maro20;20191026_134500.WAV;26/10/2019;13:45:00;30.8;29.3;1787
